county,state,fips,rate_per_100
AUTAUGA,AL,01001,106.6
BALDWIN,AL,01003,106.7
BARBOUR,AL,01005,90.7
BIBB,AL,01007,80.6
BLOUNT,AL,01009,48.9
BULLOCK,AL,01011,19.9
BUTLER,AL,01013,118.6
CALHOUN,AL,01015,138.2
CHAMBERS,AL,01017,127
CHEROKEE,AL,01019,128.3
CHILTON,AL,01021,107
CHOCTAW,AL,01023,92.2
CLARKE,AL,01025,154.5
CLAY,AL,01027,112.2
CLEBURNE,AL,01029,48.1
COFFEE,AL,01031,118.7
COLBERT,AL,01033,186
CONECUH,AL,01035,84.9
COOSA,AL,01037,24.3
COVINGTON,AL,01039,143.1
CRENSHAW,AL,01041,81.1
CULLMAN,AL,01043,141.1
DALE,AL,01045,69.6
DALLAS,AL,01047,102.6
DE KALB,AL,01049,103.2
ELMORE,AL,01051,109.4
ESCAMBIA,AL,01053,154.9
ETOWAH,AL,01055,130.5
FAYETTE,AL,01057,114.3
FRANKLIN,AL,01059,181.3
GENEVA,AL,01061,42.1
GREENE,AL,01063,53.9
HALE,AL,01065,98.7
HENRY,AL,01067,26.7
HOUSTON,AL,01069,136.2
JACKSON,AL,01071,138.6
JEFFERSON,AL,01073,104.2
LAMAR,AL,01075,75.4
LAUDERDALE,AL,01077,104.7
LAWRENCE,AL,01079,98.8
LEE,AL,01081,58.5
LIMESTONE,AL,01083,68.3
LOWNDES,AL,01085,0.4
MACON,AL,01087,44.6
MADISON,AL,01089,100.5
MARENGO,AL,01091,127.2
MARION,AL,01093,162.1
MARSHALL,AL,01095,163.9
MOBILE,AL,01097,118.4
MONROE,AL,01099,123.4
MONTGOMERY,AL,01101,81.2
MORGAN,AL,01103,117.7
PERRY,AL,01105,3.6
PICKENS,AL,01107,70.1
PIKE,AL,01109,98.9
RANDOLPH,AL,01111,95
RUSSELL,AL,01113,103.4
SAINT CLAIR,AL,01115,105
SHELBY,AL,01117,89.6
SUMTER,AL,01119,36.4
TALLADEGA,AL,01121,123.6
TALLAPOOSA,AL,01123,98.3
TUSCALOOSA,AL,01125,99.9
WALKER,AL,01127,216.1
WASHINGTON,AL,01129,52.4
WILCOX,AL,01131,52.6
WINSTON,AL,01133,155.1
ANCHORAGE,AK,02020,59.4
FAIRBANKS NORTH STAR,AK,02090,42.9
JUNEAU,AK,02110,65.7
KENAI PENINSULA,AK,02122,83
KETCHIKAN GATEWAY,AK,02130,77.4
KODIAK ISLAND,AK,02150,28.9
MATANUSKA SUSITNA,AK,02170,69.3
PETERSBURG,AK,02195,63
PRINCE OF WALES HYDER,AK,02198,38.9
SITKA,AK,02220,7.2
VALDEZ CORDOVA,AK,02261,38.2
WRANGELL,AK,02275,0.2
APACHE,AZ,04001,18.6
COCHISE,AZ,04003,69
COCONINO,AZ,04005,42.4
GILA,AZ,04007,88
GRAHAM,AZ,04009,74.6
GREENLEE,AZ,04011,0
LA PAZ,AZ,04012,67
MARICOPA,AZ,04013,59.2
MOHAVE,AZ,04015,111.8
NAVAJO,AZ,04017,66
PIMA,AZ,04019,65.4
PINAL,AZ,04021,50.1
SANTA CRUZ,AZ,04023,21.9
YAVAPAI,AZ,04025,87.2
YUMA,AZ,04027,48.5
ARKANSAS,AR,05001,116
ASHLEY,AR,05003,108.1
BAXTER,AR,05005,133.4
BENTON,AR,05007,79.4
BOONE,AR,05009,141.2
BRADLEY,AR,05011,109.6
CALHOUN,AR,05013,73.7
CARROLL,AR,05015,78.4
CHICOT,AR,05017,80
CLARK,AR,05019,95.3
CLAY,AR,05021,111.4
CLEBURNE,AR,05023,112.2
CLEVELAND,AR,05025,0.7
COLUMBIA,AR,05027,101.5
CONWAY,AR,05029,122.1
CRAIGHEAD,AR,05031,141.5
CRAWFORD,AR,05033,141.4
CRITTENDEN,AR,05035,105.5
CROSS,AR,05037,101.9
DALLAS,AR,05039,77.6
DESHA,AR,05041,129.4
DREW,AR,05043,120.8
FAULKNER,AR,05045,89.9
FRANKLIN,AR,05047,19.3
FULTON,AR,05049,109.2
GARLAND,AR,05051,157.8
GRANT,AR,05053,74.1
GREENE,AR,05055,166.8
HEMPSTEAD,AR,05057,116.4
HOT SPRING,AR,05059,95.5
HOWARD,AR,05061,138.7
INDEPENDENCE,AR,05063,150.9
IZARD,AR,05065,95.8
JACKSON,AR,05067,136.4
JEFFERSON,AR,05069,103.8
JOHNSON,AR,05071,101.2
LAFAYETTE,AR,05073,111
